minute,strokes
1463436480, 3
1463437140, 9
1463437680, 14
1463438460, 25
1463438580, 31
1463438700, 2
1463438820, 184
1463439180, 197
1463439300, 127
1463440020, 58
1463440140, 30
1463440260, 189
1463440380, 15
1463440500, 18
1463440620, 57
1463440740, 83
1463440860, 7
1463440980, 36
1463441100, 10
1463441220, 91
1463441340, 35
1463441460, 38
1463441580, 111
1463441700, 306
1463441820, 72
1463505600, 39
1463505720, 141
1463505840, 278
1463505960, 139
1463506080, 24
1463506260, 4
1463506800, 53
1463507580, 5
1463507700, 117
1463508000, 133
1463508120, 83
1463508240, 139
1463508360, 165
1463508660, 3
1463508780, 88
1463509020, 3
1463509140, 255
1463509260, 46
1463509380, 27
1463514780, 5
1463515020, 50
1463515140, 130
1463515260, 596
1463515380, 390
1463515500, 660
1463516220, 404
1463516340, 359
1463516520, 61
1463517240, 143
1463518080, 14
1463518200, 252
1463518320, 192
1463518440, 322
1463518560, 392
1463518680, 452
1463518800, 357
1463518920, 329
1463519100, 58
1463519220, 44
1463519820, 19
1463520060, 1
1463520240, 23
1463520600, 185
1463521500, 25
1463521620, 518
1463521740, 382
1463522520, 50
1463522640, 144
1463522940, 72
1463523120, 18
1463523240, 1
1463523480, 1
1463523780, 87
1463524380, 49
1463524500, 100
1463524620, 132
1463524740, 20
1463524860, 59
1463524980, 58
1463525100, 5
1463525220, 39
1463525340, 22
1463525460, 41
1463525580, 17
1463525760, 1
1463525880, 60
1463526000, 60
1463526120, 39
1463526240, 14
1463526360, 7
1463526540, 33
1463526660, 14
1463526780, 78
1463526900, 11
1463527020, 11
1463527140, 27
1463527260, 175
1463527440, 96
1463527560, 12
1463527680, 12
1463527800, 14
1463527920, 5
1463528040, 54
1463528160, 231
1463528280, 140
1463528400, 20
1463528520, 2
1463528640, 10
1463528940, 38
1463529060, 286
1463529180, 25
1463529300, 23
1463529420, 62
1463529540, 541
1463529660, 267
1463529780, 95
1463529900, 206
1463530080, 1
1463532360, 113
1463591460, 10
1463591640, 60
1463591760, 84
1463591880, 91
1463592000, 147
1463592600, 26
1463592720, 41
1463594160, 132
1463594280, 211
1463594400, 426
1463594520, 525
1463594640, 407
1463594760, 188
1463594880, 388
1463595000, 287
1463595120, 160
1463595240, 64
1463595420, 7
1463595540, 75
1463595660, 36
1463595780, 20
1463596080, 105
1463596200, 69
1463596380, 45
1463596620, 93
1463596740, 149
1463596860, 109
1463596980, 31
1463597100, 268
1463597220, 422
1463597340, 127
1463597640, 285
1463597760, 328
1463597880, 191
1463598000, 95
1463598240, 150
1463598600, 194
1463598840, 60
1463598960, 85
1463599080, 28
1463599260, 52
1463599560, 26
1463599740, 4
1463602920, 4
1463603040, 159
1463603160, 17
1463603280, 567
1463603400, 403
1463605080, 121
1463605200, 144
1463605320, 102
1463605440, 253
1463605560, 192
1463605680, 133
1463605800, 145
1463605920, 470
1463606040, 519
1463606160, 73
1463606280, 101
1463606400, 299
1463606520, 51
1463606640, 175
1463606760, 126
1463606880, 379
1463607000, 259
